system:index,aClass,dClass,eClass,finalCla_1,finalClass,include,lat,lon,pointID,random,sysID,v1_2_Class,.geo
0000000000000000008b,0,0,0,0,1,1,15.12701708,-92.52814531,,0.425729795,1_1_830,0,"{""type"":""Point"",""coordinates"":[-92.52814387672652,15.12701874090137]}"
0000000000000000008c,0,0,0,0,1,1,57.67572023,-133.4868313,,0.425758992,1_1_663,0,"{""type"":""Point"",""coordinates"":[-133.48683312046302,57.67572086097246]}"
0000000000000000008d,0,0,0,0,1,1,21.67124478,108.6450688,,0.426586534,1_1_439,0,"{""type"":""Point"",""coordinates"":[108.64506967418971,21.671244497050132]}"
0000000000000000008e,0,0,0,0,1,1,57.14122354,-159.0573748,,0.426768145,1_1_678,0,"{""type"":""Point"",""coordinates"":[-159.05737420650738,57.14122179499906]}"
0000000000000000008f,0,0,0,0,1,1,6.040558944,1.525463417,,0.427453919,1_1_77,0,"{""type"":""Point"",""coordinates"":[1.5254629294848887,6.040556914858887]}"
00000000000000000092,0,0,0,0,1,1,11.08010765,-71.75011382,,0.431180956,1_1_988,0,"{""type"":""Point"",""coordinates"":[-71.75011528899529,11.080108070633921]}"
00000000000000000094,0,0,0,0,1,1,-38.72249226,-62.24144571,,0.432920506,1_1_1074,0,"{""type"":""Point"",""coordinates"":[-62.241447938808335,-38.7224901973429]}"
00000000000000000095,0,0,0,0,1,1,-26.57277723,113.2938512,,0.434010936,1_1_276,0,"{""type"":""Point"",""coordinates"":[113.29385196824708,-26.572777557018906]}"
00000000000000000096,0,0,0,0,1,1,33.03493215,12.50287701,,0.434194607,1_1_122,0,"{""type"":""Point"",""coordinates"":[12.502877902857952,33.03493355827899]}"
00000000000000000098,0,0,0,0,1,1,21.85989009,-78.47849436,,0.437116944,1_1_993,0,"{""type"":""Point"",""coordinates"":[-78.47849300044925,21.85989122621721]}"
00000000000000000099,0,0,0,0,1,1,16.34872676,82.09086914,,0.437460471,1_1_468,0,"{""type"":""Point"",""coordinates"":[82.09086873215945,16.348727706625525]}"
0000000000000000009b,0,0,0,0,1,1,-33.87158886,135.5361366,,0.437684359,1_1_776,0,"{""type"":""Point"",""coordinates"":[135.53613786440357,-33.87159022983599]}"
0000000000000000009d,0,0,0,0,1,1,-1.114522246,-52.34650381,,0.438028561,1_1_1022,0,"{""type"":""Point"",""coordinates"":[-52.346502041664536,-1.1145210946014232]}"
000000000000000000a1,0,0,0,0,1,1,-15.90977488,124.450927,,0.441799772,1_1_301,0,"{""type"":""Point"",""coordinates"":[124.45092858216454,-15.909773798924311]}"
